Cytokine_X,CytokineY,SpearmanRho,p
HDAC9 (RNA),IL2,-0.057,0.443962794647009
HDAC9 (RNA),IL4,0.009,0.904822324724174
IL2,IL4,0.836,0
HDAC9 (RNA),IL5,-0.02,0.786927601235984
IL2,IL5,0.755,0
IL4,IL5,0.806,0
HDAC9 (RNA),IL6,-0.059,0.418303978995145
IL2,IL6,0.573,0
IL4,IL6,0.538,0
IL5,IL6,0.656,0
HDAC9 (RNA),IL8,0.026,0.730680561362315
IL2,IL8,-0.036,0.663611929745519
IL4,IL8,0.057,0.507316122300938
IL5,IL8,0.02,0.805737371525466
IL6,IL8,0.228,0.00344100588594634
HDAC9 (RNA),IL9,0.098,0.156148472013191
IL2,IL9,0.005,0.953113562649936
IL4,IL9,0.047,0.579144522067687
IL5,IL9,0.094,0.246467248634355
IL6,IL9,0.002,0.981164638392773
IL8,IL9,0.129,0.108878673966148
HDAC9 (RNA),IL10,0.045,0.570791597209631
IL2,IL10,0.845,0
IL4,IL10,0.852,0
IL5,IL10,0.72,0
IL6,IL10,0.573,0
IL8,IL10,-0.056,0.516454824855175
IL9,IL10,0.064,0.457947147534698
HDAC9 (RNA),IL12,-0.046,0.556688885092151
IL2,IL12,0.862,0
IL4,IL12,0.887,0
IL5,IL12,0.764,0
IL6,IL12,0.543,0
IL8,IL12,-0.054,0.519641941251613
IL9,IL12,0.027,0.749800005367832
IL10,IL12,0.94,0
HDAC9 (RNA),IL13 (L),0.045,0.498495898512561
IL2,IL13 (L),-0.085,0.257994792861524
IL4,IL13 (L),-0.092,0.247999827895651
IL5,IL13 (L),-0.05,0.514062279283469
IL6,IL13 (L),-0.028,0.703332830399985
IL8,IL13 (L),0.163,0.0328732922807906
IL9,IL13 (L),0.823,0
IL10,IL13 (L),-0.177,0.028343310641795
IL12,IL13 (L),-0.181,0.0213515968344289
HDAC9 (RNA),IL21 (L),0.02,0.763090504032918
IL2,IL21 (L),-0.047,0.530928860175468
IL4,IL21 (L),-0.057,0.47475107104151
IL5,IL21 (L),-0.028,0.712594638837047
IL6,IL21 (L),-0.037,0.620585372424087
IL8,IL21 (L),0.193,0.0114122840251735
IL9,IL21 (L),0.826,0
IL10,IL21 (L),-0.139,0.0860750473245558
IL12,IL21 (L),-0.148,0.0603815783027793
IL13 (L),IL21 (L),0.964,0
HDAC9 (RNA),INFG,-0.067,0.377517379232271
IL2,INFG,0.863,0
IL4,INFG,0.841,0
IL5,INFG,0.746,0
IL6,INFG,0.463,6.74433252487401e-10
IL8,INFG,-0.112,0.166135836050822
IL9,INFG,0.065,0.425243674917205
IL10,INFG,0.957,0
IL12,INFG,0.927,0
IL13 (L),INFG,-0.091,0.238642584528348
IL21 (L),INFG,-0.051,0.506784729149216
HDAC9 (RNA),TNFA,0.007,0.924578381484469
IL2,TNFA,0.78,0
IL4,TNFA,0.806,0
IL5,TNFA,0.782,0
IL6,TNFA,0.595,0
IL8,TNFA,0.019,0.823267968897643
IL9,TNFA,0.046,0.588655588267678
IL10,TNFA,0.823,0
IL12,TNFA,0.795,0
IL13 (L),TNFA,-0.126,0.111856382206795
IL21 (L),TNFA,-0.099,0.214281035637749
INFG,TNFA,0.815,0
HDAC9 (RNA),MIF (L),-0.012,0.858917215363681
IL2,MIF (L),-0.002,0.978482537981025
IL4,MIF (L),0.024,0.762082412836048
IL5,MIF (L),0.015,0.8471679401698
IL6,MIF (L),-0.038,0.610756368310111
IL8,MIF (L),-0.145,0.056958917121692
IL9,MIF (L),0.023,0.741435656683334
IL10,MIF (L),-0.073,0.367270358052263
IL12,MIF (L),-0.075,0.344959029100039
IL13 (L),MIF (L),0.114,0.0830352770268334
IL21 (L),MIF (L),0.086,0.189763508805883
INFG,MIF (L),0.042,0.591400084558567
TNFA,MIF (L),0.019,0.815210862999141
HDAC9 (RNA),MCP1 (L),-0.002,0.974860732466873
IL2,MCP1 (L),0.027,0.717971816127418
IL4,MCP1 (L),0.037,0.648393990001855
IL5,MCP1 (L),-0.013,0.862737468462088
IL6,MCP1 (L),0.065,0.382560351322941
IL8,MCP1 (L),0.261,0.000575629160595724
IL9,MCP1 (L),0.264,0.000108766273341013
IL10,MCP1 (L),-0.097,0.235743600520648
IL12,MCP1 (L),-0.064,0.418822883190291
IL13 (L),MCP1 (L),0.344,1.0617423686828e-07
IL21 (L),MCP1 (L),0.288,9.63446488820398e-06
INFG,MCP1 (L),0.003,0.966077428979963
TNFA,MCP1 (L),0.021,0.79599209007057
MIF (L),MCP1 (L),0.346,9.17202419731007e-08
HDAC9 (RNA),MIP1a (L),0.016,0.816305522186434
IL2,MIP1a (L),0.05,0.52409970906658
IL4,MIP1a (L),0.009,0.91694152964358
IL5,MIP1a (L),0.026,0.745762710140294
IL6,MIP1a (L),-0.028,0.719409776499803
IL8,MIP1a (L),0.223,0.00473846868044803
IL9,MIP1a (L),0.842,0
